timestamp,day,phase,temperature_active1,temperature_active2,temperature_curing1,temperature_curing2,moisture_active1,moisture_active2,moisture_curing1,moisture_curing2,oxygen,co2,methane_ppm,aeration_on
2025-01-01 00:00:00,0,active,55.03,53.92,,,58.66,57.51,,,16.01,13.57,21.4,1
2025-01-01 01:00:00,0,active,54.85,52.9,,,58.7,57.54,,,15.73,13.76,20.65,0
2025-01-01 02:00:00,0,active,55.52,53.32,,,59.58,59.18,,,15.63,14.31,28.13,0
2025-01-01 03:00:00,0,active,56.24,54.77,,,60.19,57.93,,,15.94,14.68,11.56,0
2025-01-01 04:00:00,0,active,55.38,54.62,,,58.23,58.37,,,16.97,15.21,2.56,0
2025-01-01 05:00:00,0,active,55.58,54.61,,,59.55,57.4,,,17.17,15.96,21.57,0
2025-01-01 06:00:00,0,active,56.87,54.93,,,59.51,57.38,,,18.85,14.56,22.81,1
2025-01-01 07:00:00,0,active,56.58,55.33,,,60.63,58.47,,,17.79,15.23,34.9,0
2025-01-01 08:00:00,0,active,56.04,55.0,,,59.54,56.99,,,18.04,15.99,7.3,0
2025-01-01 09:00:00,0,active,56.85,55.06,,,59.97,57.53,,,17.35,16.49,31.55,0
2025-01-01 10:00:00,0,active,56.45,55.84,,,59.79,57.77,,,18.71,16.35,43.67,0
2025-01-01 11:00:00,0,active,56.65,55.34,,,58.4,57.79,,,17.75,16.27,16.22,0
2025-01-01 12:00:00,0,active,57.28,56.38,,,60.11,57.59,,,18.88,16.26,7.09,1
2025-01-01 13:00:00,0,active,56.18,55.31,,,59.75,57.91,,,16.96,17.2,15.93,0
2025-01-01 14:00:00,0,active,56.5,57.15,,,59.9,58.07,,,17.05,16.92,20.14,0
2025-01-01 15:00:00,0,active,57.4,57.02,,,61.92,58.07,,,15.98,17.56,25.64,0
2025-01-01 16:00:00,0,active,57.33,57.09,,,58.28,57.01,,,16.21,17.97,14.09,0
2025-01-01 17:00:00,0,active,58.33,57.73,,,60.54,57.4,,,15.38,18.25,35.55,0
2025-01-01 18:00:00,0,active,57.79,58.34,,,59.3,58.27,,,16.01,17.3,8.85,1
2025-01-01 19:00:00,0,active,57.69,58.15,,,59.62,58.06,,,14.76,18.23,2.61,0
2025-01-01 20:00:00,0,active,59.62,56.63,,,59.39,56.68,,,13.48,18.92,31.07,0
2025-01-01 21:00:00,0,active,58.8,57.17,,,59.13,57.69,,,13.23,18.4,0.0,0
2025-01-01 22:00:00,0,active,59.17,57.76,,,59.02,56.26,,,13.25,19.1,17.96,0
2025-01-01 23:00:00,0,active,58.47,58.34,,,59.53,57.45,,,13.54,18.76,51.18,0
2025-01-02 00:00:00,1,active,59.2,58.83,,,58.39,58.54,,,13.35,18.89,19.88,1
2025-01-02 01:00:00,1,active,59.78,58.28,,,59.72,56.81,,,12.42,19.49,8.79,0
2025-01-02 02:00:00,1,active,59.22,59.02,,,58.99,56.85,,,12.0,20.0,19.43,0
2025-01-02 03:00:00,1,active,60.32,58.64,,,58.53,57.78,,,12.78,20.0,19.49,0
2025-01-02 04:00:00,1,active,59.92,58.92,,,58.91,56.37,,,11.35,19.75,21.61,0
2025-01-02 05:00:00,1,active,60.3,58.63,,,59.91,56.9,,,12.22,20.0,26.62,0
2025-01-02 06:00:00,1,active,60.29,59.1,,,58.8,57.61,,,12.75,19.2,9.61,1
2025-01-02 07:00:00,1,active,61.95,59.02,,,59.31,56.84,,,11.7,20.0,36.88,0
2025-01-02 08:00:00,1,active,61.01,59.43,,,58.63,57.06,,,13.19,20.0,22.45,0
2025-01-02 09:00:00,1,active,60.56,60.82,,,59.49,57.62,,,13.56,20.0,27.27,0
2025-01-02 10:00:00,1,active,61.86,59.8,,,59.42,57.4,,,13.86,20.0,13.72,0
2025-01-02 11:00:00,1,active,60.8,62.12,,,60.09,57.29,,,14.44,20.0,32.86,0
2025-01-02 12:00:00,1,active,61.83,61.0,,,58.84,56.9,,,17.24,19.2,17.43,1
2025-01-02 13:00:00,1,active,60.7,60.98,,,59.32,57.3,,,15.42,20.0,22.78,0
2025-01-02 14:00:00,1,active,61.24,60.52,,,58.95,56.98,,,16.23,20.0,10.67,0
2025-01-02 15:00:00,1,active,62.31,61.61,,,59.64,57.3,,,16.24,20.0,10.03,0
