,Mixed Material,,,,,,,Process Data,,,,,,Seed Experiment,,,,Prediction
Reference,Mixture_main,Mixture_secondary,pH_m,"EC_m
(ms/cm)","MC_m
(%)",C/N_m,Additive,"Duration_time
(day)","T_ambient
(℃)","T_p
(℃)",pH_p,"EC_p
(ms/cm)","Aeration
( L/kg(dry mass)·min)",Seed,weight/volume,"Grow_time
(day)","Grow_T
(℃）","GI_p
(%)"
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,0.972222,30.1381,51.0514,4.89552,2.41194,0.4,Radish,0.1,3,20,0.597015
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,2.97743,34.2677,48.7164,5.40299,2.90149,0.4,Radish,0.1,3,20,6.56716
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,6.97917,32.7829,69.864,7.64179,2.91343,0.4,Radish,0.1,3,20,34.6269
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,14.0017,29.6786,62.806,7.91045,2.69851,0.4,Radish,0.1,3,20,63.2836
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,20.9549,29.2101,55.8806,8.26866,2.23284,0.4,Radish,0.1,3,20,73.4328
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,27.9688,28.1026,36.5638,7.97015,2.23284,0.4,Radish,0.1,3,20,93.7313
S1,Food Waste,Garden waste,4.8,2.4,71.4,17.3,0,35.0087,29.0715,33.592,8,2.35224,0.4,Radish,0.1,3,20,99.1045
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,1.01563,30.1381,52.2985,4.77612,2.31642,0.4,Radish,0.1,3,20,1.19403
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,2.96875,34.2677,70.9254,5.04478,2.88955,0.4,Radish,0.1,3,20,1.79104
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,7.03125,32.7829,67.3433,7.01493,2.43582,0.4,Radish,0.1,3,20,31.6418
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,13.9063,29.6786,49.9104,7.52239,2.31642,0.4,Radish,0.1,3,20,68.6567
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,21.0156,29.2101,33.4328,7.58209,2.2209,0.4,Radish,0.1,3,20,89.5522
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,28.125,28.1026,31.2836,7.79104,2.20896,0.4,Radish,0.1,3,20,102.09
S1,Food Waste,Garden waste,4.98,2.3025,66.3825,21.515,0,34.8438,29.0715,27.9403,7.79104,1.6597,0.4,Radish,0.1,3,20,120
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,1.09375,30.1381,51.8209,4.56716,1.87463,0.4,Radish,0.1,3,20,0.597015
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,2.96875,34.2677,76.8955,5.16418,1.95821,0.4,Radish,0.1,3,20,27.4627
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,7.03125,32.7829,55.6418,7.37313,2.16119,0.4,Radish,0.1,3,20,97.3134
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,13.9844,29.6786,34.6269,7.43284,1.94627,0.4,Radish,0.1,3,20,93.1343
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,21.0156,29.2101,34.8657,7.34328,1.81493,0.4,Radish,0.1,3,20,108.06
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,27.8906,28.1026,30.806,7.61194,1.49254,0.4,Radish,0.1,3,20,143.284
S1,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,35.2344,29.0715,27.7015,7.67164,1.6597,0.4,Radish,0.1,3,20,171.94
S1,Food Waste,Garden waste,5.34,2.1075,56.3475,29.945,0,0.9375,30.1381,51.8209,4.56716,1.83881,0.4,Radish,0.1,3,20,2.98507
