timestamp,day,phase,temperature_active1,temperature_active2,temperature_curing1,temperature_curing2,moisture_active1,moisture_active2,moisture_curing1,moisture_curing2,oxygen,co2,methane_ppm,aeration_on
2025-01-01 00:00:00,0,active,60.54,58.46,23.06,22.11,59.67,58.17,50.27,47.85,15.92,11.43,13.27,1
2025-01-01 01:00:00,0,active,59.44,57.82,22.37,22.1,59.26,58.39,49.34,47.98,15.46,11.53,27.84,0
2025-01-01 02:00:00,0,active,59.93,59.1,21.62,20.34,60.26,58.49,50.56,48.1,16.06,12.14,17.94,0
2025-01-01 03:00:00,0,active,60.34,59.66,22.16,20.38,59.71,57.79,50.48,46.59,16.66,12.82,7.55,0
2025-01-01 04:00:00,0,active,59.81,58.29,20.55,19.32,59.34,57.8,49.81,46.87,16.61,12.69,33.06,0
2025-01-01 05:00:00,0,active,60.47,59.52,21.69,22.0,60.22,57.98,51.24,48.31,17.38,12.88,23.23,0
2025-01-01 06:00:00,0,active,60.65,60.31,22.61,21.67,59.82,57.68,49.36,48.32,18.32,11.61,20.3,1
2025-01-01 07:00:00,0,active,59.78,58.85,21.71,20.83,60.09,58.74,50.51,48.12,17.66,12.96,14.09,0
2025-01-01 08:00:00,0,active,61.63,60.5,22.06,21.33,59.83,57.35,49.85,48.05,18.5,13.07,31.9,0
2025-01-01 09:00:00,0,active,61.55,60.8,21.41,20.4,59.5,57.06,49.96,48.23,18.18,13.14,9.55,0
2025-01-01 10:00:00,0,active,60.99,60.2,22.37,21.65,59.16,58.16,50.44,47.64,17.92,13.15,16.44,0
2025-01-01 11:00:00,0,active,61.43,60.47,22.04,21.25,60.04,57.7,50.51,47.69,18.21,13.37,28.32,0
2025-01-01 12:00:00,0,active,62.01,60.8,21.98,21.97,59.2,56.96,50.4,48.23,18.87,12.64,18.37,1
2025-01-01 13:00:00,0,active,61.71,60.55,22.45,22.09,60.34,58.21,49.32,47.43,17.84,13.78,15.77,0
2025-01-01 14:00:00,0,active,61.89,60.93,22.8,22.07,59.86,58.22,50.53,48.01,17.3,14.17,26.59,0
2025-01-01 15:00:00,0,active,61.32,60.1,22.38,21.83,59.66,57.25,49.68,48.22,16.09,14.36,24.04,0
2025-01-01 16:00:00,0,active,62.68,62.22,21.11,20.52,59.18,57.03,49.92,47.59,16.11,14.53,18.98,0
2025-01-01 17:00:00,0,active,62.58,61.93,22.18,20.91,60.62,58.19,50.09,48.68,14.95,14.91,11.09,0
2025-01-01 18:00:00,0,active,62.81,62.25,22.11,21.73,59.47,58.12,49.32,48.26,16.6,14.57,20.47,1
2025-01-01 19:00:00,0,active,61.88,61.69,21.4,20.32,59.93,58.14,50.56,48.05,14.55,14.87,14.63,0
2025-01-01 20:00:00,0,active,63.93,63.56,21.17,20.66,59.2,57.48,49.9,47.64,13.82,15.66,26.85,0
2025-01-01 21:00:00,0,active,63.17,62.74,21.77,21.0,60.25,58.15,49.45,48.57,13.53,15.49,16.12,0
2025-01-01 22:00:00,0,active,62.98,62.13,21.83,21.36,59.8,58.61,49.69,47.7,12.67,16.46,32.88,0
2025-01-01 23:00:00,0,active,64.55,63.48,21.94,21.68,60.14,58.05,49.37,48.82,12.77,16.22,41.47,0
2025-01-02 00:00:00,1,active,63.44,63.36,21.61,21.01,60.0,58.0,49.42,48.91,14.03,15.73,39.58,1
2025-01-02 01:00:00,1,active,62.71,61.45,22.05,21.03,59.41,58.26,50.18,47.9,12.01,16.88,21.05,0
2025-01-02 02:00:00,1,active,63.46,62.21,22.12,21.17,58.95,57.86,50.25,48.57,12.14,17.33,16.63,0
2025-01-02 03:00:00,1,active,62.44,61.09,21.83,21.23,59.48,57.56,50.64,49.21,11.96,16.76,11.22,0
2025-01-02 04:00:00,1,active,64.55,63.64,22.16,21.17,59.05,57.75,51.14,48.36,12.32,17.4,14.65,0
2025-01-02 05:00:00,1,active,63.77,62.94,21.68,20.7,59.19,58.09,50.42,48.06,12.66,17.34,18.48,0
2025-01-02 06:00:00,1,active,63.67,63.09,21.18,20.31,60.4,57.69,48.81,48.53,12.58,17.56,0.0,1
2025-01-02 07:00:00,1,active,64.86,63.77,21.97,21.0,59.92,57.89,50.36,47.99,12.67,17.71,12.78,0
2025-01-02 08:00:00,1,active,63.31,61.62,22.41,21.79,59.54,57.23,50.15,48.29,12.65,18.46,9.23,0
2025-01-02 09:00:00,1,active,64.71,63.83,23.32,22.31,59.73,57.39,50.34,47.49,13.15,18.33,9.21,0
2025-01-02 10:00:00,1,active,63.22,62.62,20.91,20.12,59.85,56.56,50.45,47.84,14.28,19.11,15.83,0
2025-01-02 11:00:00,1,active,64.14,63.15,21.72,20.6,59.43,57.93,50.1,48.25,15.09,18.78,40.58,0
2025-01-02 12:00:00,1,active,63.88,62.83,21.53,20.01,59.25,57.59,50.48,48.12,15.75,18.07,13.33,1
2025-01-02 13:00:00,1,active,65.54,64.77,22.1,21.6,59.34,56.76,50.37,47.99,15.88,19.58,43.63,0
2025-01-02 14:00:00,1,active,65.78,65.36,21.53,21.1,59.54,57.62,51.08,47.63,15.49,19.25,13.44,0
2025-01-02 15:00:00,1,active,64.58,63.55,22.03,21.01,60.44,56.86,49.69,47.65,16.59,19.44,12.35,0
2025-01-02 16:00:00,1,active,65.33,63.76,22.46,21.96,58.53,57.61,49.53,48.25,17.07,20.0,24.27,0
2025-01-02 17:00:00,1,active,64.76,63.53,21.6,20.89,59.23,58.42,49.92,48.03,16.92,20.0,22.56,0
2025-01-02 18:00:00,1,active,65.24,64.18,21.93,20.64,58.86,57.35,51.27,48.3,18.9,19.2,35.41,1
2025-01-02 19:00:00,1,active,64.48,62.76,22.78,22.43,60.56,56.82,49.01,47.9,18.14,20.0,20.42,0
2025-01-02 20:00:00,1,active,63.93,63.24,22.41,20.79,58.82,56.96,49.91,47.82,17.81,20.0,24.67,0
2025-01-02 21:00:00,1,active,63.89,62.59,21.16,20.32,59.86,57.35,49.45,47.64,17.76,20.0,16.87,0
2025-01-02 22:00:00,1,active,65.22,64.42,23.01,22.47,59.46,56.94,49.96,48.46,18.29,20.0,8.66,0
2025-01-02 23:00:00,1,active,66.35,65.42,21.63,20.37,59.37,57.55,50.21,47.83,18.14,20.0,21.96,0
2025-01-03 00:00:00,2,active,65.16,64.04,22.12,21.94,59.69,56.04,49.54,47.63,18.81,19.2,37.41,1
2025-01-03 01:00:00,2,active,64.68,64.33,21.77,20.71,59.28,57.94,50.62,48.59,17.8,20.0,27.02,0
2025-01-03 02:00:00,2,active,66.14,64.91,21.75,21.42,58.84,57.02,51.02,47.7,17.03,20.0,20.01,0
2025-01-03 03:00:00,2,active,65.12,63.85,21.63,20.73,60.11,57.06,49.78,48.38,16.61,20.0,17.26,0
2025-01-03 04:00:00,2,active,65.02,64.13,22.28,21.74,58.29,57.82,50.45,48.65,15.86,20.0,13.85,0
2025-01-03 05:00:00,2,active,65.08,64.42,21.59,20.74,57.86,57.61,49.56,48.71,15.68,20.0,39.99,0
2025-01-03 06:00:00,2,active,64.82,63.82,21.34,21.48,58.48,55.97,49.48,47.14,16.12,19.2,21.22,1
2025-01-03 07:00:00,2,active,64.68,63.29,21.69,21.04,59.33,56.18,50.39,47.77,15.23,20.0,18.3,0
2025-01-03 08:00:00,2,active,63.96,63.24,21.97,21.57,58.5,57.5,50.39,48.18,14.44,20.0,8.77,0
2025-01-03 09:00:00,2,active,65.08,64.32,20.97,20.44,58.93,56.72,49.46,47.98,13.33,20.0,12.89,0
2025-01-03 10:00:00,2,active,64.67,64.5,22.37,21.63,59.41,56.4,50.32,47.73,12.62,20.0,16.65,0
2025-01-03 11:00:00,2,active,65.38,64.29,21.62,20.7,59.24,57.38,50.72,48.83,12.27,20.0,26.41,0
2025-01-03 12:00:00,2,active,64.38,63.47,22.34,21.69,59.06,56.82,49.73,47.62,13.38,19.2,24.52,1
2025-01-03 13:00:00,2,active,63.39,62.17,22.67,22.25,59.45,57.11,49.23,47.22,11.84,20.0,0.0,0
2025-01-03 14:00:00,2,active,64.4,62.81,22.13,21.69,58.81,56.36,50.16,47.74,11.7,20.0,13.44,0
2025-01-03 15:00:00,2,active,65.4,64.43,22.24,21.65,59.4,56.56,50.53,47.48,11.72,20.0,30.55,0
2025-01-03 16:00:00,2,active,64.07,63.41,21.75,20.89,58.86,56.7,50.0,47.87,12.01,20.0,30.8,0
2025-01-03 17:00:00,2,active,63.68,62.27,21.64,21.12,59.62,56.95,50.31,47.69,11.68,20.0,36.77,0
2025-01-03 18:00:00,2,active,63.4,62.13,21.03,19.83,59.35,57.37,49.74,47.64,12.91,19.2,31.32,1
2025-01-03 19:00:00,2,active,63.39,61.92,21.88,21.07,58.74,55.8,50.14,47.15,12.93,20.0,25.7,0
2025-01-03 20:00:00,2,active,63.74,63.28,21.7,20.08,59.36,56.26,49.88,49.03,12.98,20.0,17.59,0
2025-01-03 21:00:00,2,active,63.1,61.85,20.79,19.71,59.2,56.27,50.1,47.87,13.52,20.0,23.58,0
2025-01-03 22:00:00,2,active,64.6,63.83,22.11,21.25,59.13,56.75,50.36,47.44,14.59,20.0,25.21,0
2025-01-03 23:00:00,2,active,63.41,62.07,22.74,21.37,58.82,56.24,49.98,47.66,14.15,20.0,21.19,0
2025-01-04 00:00:00,3,active,63.53,62.56,22.18,20.92,57.92,56.69,49.94,47.48,16.0,19.2,21.84,1
2025-01-04 01:00:00,3,active,64.2,62.95,22.56,22.13,58.28,57.28,49.24,48.31,16.35,20.0,21.18,0
2025-01-04 02:00:00,3,active,64.11,62.17,21.84,21.24,59.1,56.69,49.07,47.64,16.7,20.0,22.91,0
2025-01-04 03:00:00,3,active,62.95,61.98,21.47,21.11,59.3,57.31,49.72,47.4,17.01,19.49,23.68,0
2025-01-04 04:00:00,3,active,63.14,62.35,22.01,21.68,57.62,56.56,49.99,48.25,16.31,18.9,23.34,0
2025-01-04 05:00:00,3,active,63.24,61.4,21.8,21.26,57.96,55.49,49.81,47.91,17.04,19.66,16.5,0
2025-01-04 06:00:00,3,active,62.53,61.46,21.41,20.93,57.27,56.51,50.01,49.07,18.65,18.47,16.63,1
2025-01-04 07:00:00,3,active,61.43,60.26,22.49,21.82,57.67,56.69,49.84,47.22,17.36,19.53,26.53,0
2025-01-04 08:00:00,3,active,62.74,61.31,22.06,21.78,58.79,56.12,49.78,46.81,17.55,18.91,10.37,0
2025-01-04 09:00:00,3,active,62.73,61.63,21.65,20.24,58.05,56.39,49.69,48.21,18.57,19.11,17.24,0
2025-01-04 10:00:00,3,active,62.28,60.51,22.08,21.21,58.68,57.21,49.94,47.77,17.21,18.99,23.79,0
2025-01-04 11:00:00,3,active,61.32,60.42,21.9,21.53,59.21,56.71,50.35,48.57,17.46,17.91,36.93,0
2025-01-04 12:00:00,3,active,61.59,61.06,22.29,21.83,57.32,55.78,49.85,47.81,18.32,16.99,15.17,1
2025-01-04 13:00:00,3,active,61.18,59.68,22.78,22.01,58.4,55.66,49.18,48.44,18.32,17.71,3.46,0
2025-01-04 14:00:00,3,active,61.19,60.16,21.67,20.75,58.5,56.77,49.57,47.48,16.88,17.5,12.7,0
2025-01-04 15:00:00,3,active,61.97,61.54,21.38,20.93,58.55,56.71,49.55,48.34,16.22,17.18,32.57,0
2025-01-04 16:00:00,3,active,61.93,60.98,22.67,21.81,58.89,55.64,50.05,47.3,15.64,17.37,14.39,0
2025-01-04 17:00:00,3,active,61.24,60.03,23.18,21.94,58.94,56.21,50.48,46.77,15.28,16.89,31.91,0
2025-01-04 18:00:00,3,active,60.98,59.62,21.68,21.35,58.58,56.35,48.63,47.42,16.53,15.98,0.17,1
2025-01-04 19:00:00,3,active,60.88,59.95,21.53,20.58,57.66,56.87,49.62,47.52,14.38,15.9,5.79,0
2025-01-04 20:00:00,3,active,60.28,59.22,21.38,20.66,58.88,56.75,49.64,48.64,14.19,15.21,15.43,0
2025-01-04 21:00:00,3,active,60.05,59.3,21.98,20.54,59.45,57.63,51.09,47.86,13.17,15.49,22.33,0
2025-01-04 22:00:00,3,active,59.5,57.89,22.04,20.22,57.52,55.84,49.64,48.27,13.58,15.16,33.45,0
2025-01-04 23:00:00,3,active,59.68,59.11,21.85,21.24,58.08,55.17,50.25,48.28,13.51,15.11,5.64,0
2025-01-05 00:00:00,4,active,60.88,59.72,22.4,22.27,58.34,56.14,50.75,46.95,13.48,13.94,19.28,1
