moisture_active1,moisture_active2,oxygen,lid,co2,time_stamp,device_id,temperature_curing1,temperature_curing2,moisture_curing1,moisture_curing2,automation_active,methane,temperature_active1,temperature_active2,temperature_active3,temperature_active4
14,15,10.42950058,open,6473,28/06/2024 18:03,YJWCHg,0,0,134,14,FALSE,965,15,15,25,14
15,17,11.40651321,open,6429,28/06/2024 18:03,YJWCHg,0,0,68,15,FALSE,898,14,15,15,14
7,15,11.89501953,open,6446,28/06/2024 18:03,YJWCHg,0,0,62,13,FALSE,957,14,15,15,14
15,16,12.20703602,open,6410,28/06/2024 18:03,YJWCHg,0,0,107,18,FALSE,941,14,15,15,14
14,16,12.38615322,open,6703,28/06/2024 18:03,YJWCHg,0,0,46,13,FALSE,1012,14,15,15,14
13,15,12.53435707,open,6495,28/06/2024 18:03,YJWCHg,0,0,131,14,FALSE,804,14,15,15,14
7,15,12.62950325,open,6481,28/06/2024 18:03,YJWCHg,0,0,61,13,FALSE,1094,14,15,15,14
13,16,12.69518852,open,6451,28/06/2024 18:03,YJWCHg,0,0,137,14,FALSE,951,14,15,15,14
31,16,12.77787781,open,6503,28/06/2024 18:03,YJWCHg,0,0,107,14,FALSE,1335,14,15,15,14
15,16,13.33985519,open,6432,28/06/2024 18:03,YJWCHg,0,0,53,14,FALSE,953,14,15,15,14
14,15,13.35600853,open,6415,28/06/2024 18:04,YJWCHg,0,0,139,16,FALSE,1032,14,15,15,14
14,17,13.36191845,open,6493,28/06/2024 18:04,YJWCHg,0,0,82,15,FALSE,938,14,15,15,14
14,15,13.37137508,open,6808,28/06/2024 18:04,YJWCHg,0,0,105,14,FALSE,907,14,15,15,14
13,13,13.36507034,open,6461,28/06/2024 18:04,YJWCHg,0,0,50,15,FALSE,1123,14,15,15,15
12,15,13.37314796,open,6468,28/06/2024 18:04,YJWCHg,0,0,109,14,FALSE,934,14,15,15,14
13,15,13.37314796,open,6454,28/06/2024 18:04,YJWCHg,0,0,111,14,FALSE,868,14,15,15,14
12,14,13.37531471,open,6488,28/06/2024 18:04,YJWCHg,0,0,46,18,FALSE,841,14,15,15,14
12,15,13.4145174,open,6358,28/06/2024 18:04,YJWCHg,0,0,104,14,FALSE,792,14,15,15,14
15,15,13.40466785,open,6463,28/06/2024 18:04,YJWCHg,0,0,49,13,FALSE,930,14,15,15,14
13,2,13.41156292,open,6420,28/06/2024 18:04,YJWCHg,0,0,96,14,FALSE,936,14,15,15,14
14,15,13.39245415,open,6515,28/06/2024 18:04,YJWCHg,0,0,60,12,FALSE,957,14,15,15,14
14,15,13.38004303,open,6454,28/06/2024 18:04,YJWCHg,0,0,68,14,FALSE,948,14,15,15,14
14,14,13.38319492,open,6503,28/06/2024 18:04,YJWCHg,0,0,57,14,FALSE,886,14,15,15,14
14,15,13.38989258,open,6510,28/06/2024 18:04,YJWCHg,0,0,112,14,FALSE,857,14,15,15,14
15,14,13.38969612,open,6510,28/06/2024 18:04,YJWCHg,0,0,39,14,FALSE,946,14,15,15,14
16,15,13.37610245,open,6434,28/06/2024 18:04,YJWCHg,0,0,118,14,FALSE,868,14,15,15,14
14,14,13.36448002,open,6483,28/06/2024 18:05,YJWCHg,0,0,102,14,FALSE,877,14,15,15,14
13,16,13.34655285,open,6449,28/06/2024 18:05,YJWCHg,0,0,64,10,FALSE,1004,14,15,15,14
13,15,13.34359741,open,6488,28/06/2024 18:05,YJWCHg,0,0,130,13,FALSE,1041,14,15,15,14
16,14,13.34773445,open,6481,28/06/2024 18:05,YJWCHg,0,0,40,14,FALSE,809,14,15,15,14
15,15,13.35403824,open,6500,28/06/2024 18:05,YJWCHg,0,0,98,14,FALSE,982,14,15,15,14
14,15,13.36999607,open,6630,28/06/2024 18:05,YJWCHg,0,0,103,14,FALSE,1000,14,15,15,14
15,16,13.36053944,open,7396,28/06/2024 18:05,YJWCHg,0,0,47,14,FALSE,992,14,15,15,14
15,15,13.3696022,open,6488,28/06/2024 18:05,YJWCHg,0,0,131,13,FALSE,1080,14,15,15,14
14,14,13.36211586,open,6473,28/06/2024 18:05,YJWCHg,0,0,109,13,FALSE,1028,14,15,15,14
10,15,13.36940479,open,6478,28/06/2024 18:05,YJWCHg,0,0,54,14,FALSE,929,14,15,15,14
14,15,13.4034853,open,6503,28/06/2024 18:05,YJWCHg,0,0,114,13,FALSE,1097,14,15,15,14
13,14,13.41510868,open,6493,28/06/2024 18:05,YJWCHg,0,0,100,13,FALSE,916,14,15,15,14
15,15,13.41215324,open,6007,28/06/2024 18:05,YJWCHg,0,0,46,13,FALSE,888,14,15,15,14
16,17,13.41865444,open,6498,28/06/2024 18:05,YJWCHg,0,0,132,14,FALSE,1086,14,15,15,14
14,15,13.43106556,open,6493,28/06/2024 18:05,YJWCHg,0,0,68,9,FALSE,1045,14,15,15,14
14,14,13.44682598,open,6473,28/06/2024 18:05,YJWCHg,0,0,62,13,FALSE,946,14,15,15,14
13,15,13.44367409,open,6481,28/06/2024 18:06,YJWCHg,0,0,119,14,FALSE,899,14,15,15,14
