Day,temperature_active1,temperature_active2,temperature_active3,temperature_active4,temperature_curing1,temperature_curing2,moisture_active1,moisture_active2,moisture_curing1,moisture_curing2,oxygen,co2,methane
0,35.26750081462257,36.31636713340133,34.66858796649427,35.78836695163062,,,57.97178190605875,60.06744165257318,,,,,
1,37.52464054318238,38.409614780490536,36.808272406604736,37.75221485842753,,,57.082292891123785,58.722955224358806,,,,,
2,39.986224248828364,40.40926791877801,38.83648608396966,39.90903013338987,,,56.06682015424674,57.37511615508245,,,,,
3,41.90433891656585,42.46701084057227,40.950689890635054,42.326743016794886,,,54.89855340923899,56.628448366598946,,,,,
4,47.80388303303276,48.15049701527611,46.65159454291402,48.246500892256826,,,53.004871584457604,55.95736243487972,,,,,
5,53.49206418537962,53.73484541440857,52.28386326491918,53.63323225605245,,,52.28491186106733,54.24629424937171,,,,,
6,59.00820337823654,59.976363414507404,58.37675290352347,59.30593010154117,,,50.8393610902692,52.981347621344725,,,,,
7,57.236116500484435,57.29969695209628,56.52356133931208,57.372991867089944,,,49.82914229679441,52.34420111545729,,,,,
8,55.06142511697342,55.65084062015415,54.21665977615181,55.22731294016729,,,48.95763555242156,50.80016211583065,,,,,
9,53.055280002892,53.75148961282898,52.208590104354506,53.365067073885776,,,47.67830306932677,49.64587254828825,,,,,
10,48.41687172339576,49.16762161815371,47.53511404327343,48.78116247382457,,,46.092267299613034,48.2912864832279,,,,,
11,43.37473419050602,44.62452451991316,42.78528819096228,43.96025595039006,,,44.78142850017823,46.33437514856341,,,,,
12,39.19063084762501,39.751329792038476,37.87112222724959,39.49901345135851,,,42.749447789863616,45.25975665090728,,,,,
13,38.305026233047876,38.98004764822948,37.90747937278362,38.76748958715253,,,41.97121224001113,43.95708720257017,,,,,
14,38.11803592728968,38.664247267016115,37.20710137283434,38.31542629197782,,,40.79639491649107,42.54857649126575,,,,,
15,,,,,31.558612589459106,32.599487090123915,,,44.779889829857005,45.56686928248793,,,
16,,,,,29.54757489360391,30.65090994089939,,,42.91143099560672,43.3110054265974,,,
17,,,,,27.782438891506498,29.14212351705528,,,40.58763634487081,40.88801483326912,,,
18,,,,,26.207894702271762,27.1290959464211,,,39.10273468828664,40.283067607282604,,,
19,,,,,24.313214532232614,25.232203662707185,,,36.86841286908518,38.47895984113824,,,
20,,,,,22.42161325702644,23.497807407187594,,,35.44151870153708,36.52695893526318,,,
21,,,,,22.229561408721555,23.056694652557297,,,34.50380343964732,34.996318496941754,,,
22,,,,,21.871845366099784,22.652964633814324,,,32.88133137797123,34.37685017276395,,,
23,,,,,21.596528030121704,22.640385547346604,,,30.66748028854791,32.00412239978536,,,
24,,,,,21.63114202894998,22.066955635031505,,,30.0,31.01966492810539,,,
25,,,,,20.864675854304135,21.85418382694589,,,30.0,30.0,,,
